ticker,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
STOK,2022-09-30,USD,-7039000,2905000,9944000,NA,-27148000,9944000,20109000,30053000,NA,995000,NA,995000,NA,42000,388000,388000,-26111000,0,NA,-26111000,-26538000,-27148000,-24728000,-26111000
STOR,2022-09-30,USD,131394000,230556000,99162000,4360000,-28661000,13427000,NA,160055000,NA,-48519000,NA,48519000,NA,-1734000,NA,78985000,68767000,182000,48519000,68585000,96245000,117286000,196271000,68585000
STR,2022-09-30,USD,38311000,115497000,77186000,31800000,62896000,13381000,NA,52601000,NA,-14986000,19627000,14986000,131887000,23662000,NA,32005000,11700000,2561000,26473000,69011000,9139000,26686000,58691000,9139000
STRA,2022-09-30,USD,160969000,263123000,102154000,153162000,7807000,97753000,NA,262810000,NA,-138000,NA,138000,263123000,-262000,NA,15757000,7545000,1453000,138000,6092000,-32268000,7807000,23440000,6092000
STRC,2022-09-30,USD,1089000,4667000,3578000,3578000,-27250000,17051000,10497000,28339000,NA,806000,NA,806000,4667000,-4000,400000,791000,-24999000,-2500000,NA,-22464000,-22633000,-27250000,-26459000,-22499000
STRL,2022-09-30,USD,82023000,556405000,505206000,474919000,47686000,26466000,NA,30287000,NA,-537000,167000,537000,556942000,167000,9629000,3544000,42719000,12562000,537000,35124000,29422000,47686000,46800000,30157000
STRM,2022-07-31,USD,1868000,5851000,3983000,3204000,-2656000,3934000,1461000,5444000,NA,-189000,NA,189000,5992000,-425000,13000,737000,-3270000,2000,189000,-3272000,-3272000,-3081000,-2344000,-3272000
STRN,2022-09-30,USD,4247351,13576072,9328721,9328721,-649035,4896386,NA,4896386,9919,-12800,9919,12800,NA,-213624,NA,187345,-862659,-174507,12800,0,-688152,-849859,-313500,-688152
STRO,2022-09-30,USD,9904000,24547000,14643000,NA,-21210000,14643000,31714000,46357000,NA,-600000,1014000,600000,25147000,1014000,NA,1438000,-19488000,0,600000,-19488000,-19468000,-21210000,-15262000,-19488000
STRR,2022-09-30,USD,5799000,24244000,18445000,18445000,-1491000,6860000,NA,7290000,NA,-185000,NA,185000,0,-575000,447000,562000,-2251000,-367000,185000,-1884000,-1884000,-2066000,-1504000,-1884000
STRS,2022-09-30,USD,1492000,9977000,8485000,8485000,-2830000,3602000,NA,4322000,NA,0,1800000,1800000,6887000,680000,907000,907000,-1940000,420000,1800000,-2574000,-2360000,-2830000,-1033000,-2360000
STRT,2022-09-30,USD,12496000,120398000,107986000,107864000,-204000,122000,NA,12700000,NA,-129000,NA,129000,120527000,70000,4497000,4497000,92000,-36000,129000,-60000,-535000,221000,4718000,128000
STSA,2022-09-30,USD,-4067000,NA,4067000,NA,-15409000,4067000,11342000,15409000,269000,0,269000,0,NA,NA,100000,189000,-15140000,0,0,-15140000,-15096000,-15140000,-14951000,-15140000
STSS,2022-09-30,USD,NA,0,NA,NA,-1797075,1339448,457627,1797075,NA,11332,NA,11332,NA,NA,NA,127089,-2398123,NA,NA,-2398123,NA,-1797075,-1669986,-2398123
STT,2022-09-30,USD,849000000,2959000000,2110000000,NA,-148000000,616000000,NA,997000000,NA,660000000,1101000000,441000000,2299000000,NA,NA,58000000,849000000,159000000,441000000,690000000,109000000,1290000000,1348000000,690000000
STTK,2022-09-30,USD,-6767000,212000,6979000,NA,-25229000,6579000,18862000,25441000,NA,NA,NA,NA,212000,594000,934000,934000,-24635000,NA,NA,-24635000,-24861000,-25229000,-23701000,-24635000
STXS,2022-09-30,USD,4567000,7657000,3090000,3090000,-5052000,6801000,2818000,9619000,100000,135000,NA,135000,7657000,NA,104000,104000,-5256000,NA,NA,-5052000,-5052000,-5052000,-5017000,-4917000
STZ,2022-08-31,USD,1325900000,5487200000,1842000000,1329200000,813100000,512800000,NA,512800000,-1719100000,-94300000,1813400000,94300000,5487200000,-1727100000,90800000,90800000,-1018800000,132400000,8000000,-1140700000,-1340300000,813100000,-833700000,-1151200000
SUI,2022-09-30,USD,533300000,932600000,399300000,184700000,270200000,69100000,NA,263100000,NA,-51700000,11200000,62900000,596600000,2800000,NA,10800000,173600000,11000000,66900000,160500000,123500000,236500000,247300000,162600000
SUM,2022-09-30,USD,158601000,736225000,577624000,534936000,127062000,39959000,NA,37230000,NA,-21980000,21980000,21980000,758205000,3283000,NA,2035000,112451000,24800000,21980000,87680000,78826000,127062000,136466000,87651000
SUMO,2022-07-31,USD,48145000,74108000,25963000,25963000,-36579000,57088000,27636000,84724000,NA,-6000,1149000,6000,74108000,1149000,NA,3700000,-35436000,444000,6000,-35880000,-37191000,-35430000,-31730000,-35880000
SUNL,2022-09-30,USD,-469856000,33265,465199000,5619000,-425503000,4504000,NA,405955000,189000,-375000,189000,375000,32965000,-839000,100000,17072000,-271363000,-7299000,375000,-415453000,-264064000,-270988000,-253916000,-264064000
SUNW,2022-09-30,USD,19509000,40728000,45751000,21204000,-5402000,23491000,NA,24911000,NA,-50000,NA,50000,40778000,-6000,NA,1056000,-5393000,0,50000,-5393000,-5393000,-5402000,-4287000,-5393000
SUP,2022-09-30,USD,28357000,405710000,415325000,377368000,12260000,16097000,NA,37957000,NA,-15000,10406000,15000,405725000,-239000,17300000,21860000,1615000,1966000,15000,-351000,-1512000,12260000,23490000,-351000
SUPN,2022-09-30,USD,36637000,175629000,138992000,25878000,-1523000,112314000,19554000,132668000,-2147000,-1724000,2803000,1724000,177353000,2803000,NA,800000,-444000,-2193000,1724000,1749000,-77000,1280000,2080000,1749000
SURF,2022-09-30,USD,-6833000,NA,6004000,NA,-22898000,6004000,16894000,22898000,11000,-829000,NA,829000,0,487000,NA,346000,-23240000,0,829000,-22411000,-23439000,-22411000,-22065000,-23240000
SURG,2022-09-30,USD,1920804,36171345,34250541,51718,-1012400,2933204,NA,2933204,NA,-691526,-1076836,-385310,36171345,-743961,140318,301905,-1540198,0,691526,-1808796,-1540198,-1012400,-1623603,-1540198
