ticker,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
EVCM,2022-09-30,USD,13667000,158126000,144459000,57655000,-7254000,61604000,18508000,105312000,NA,-8890000,NA,8890000,158126000,-8890000,1000000,25200000,-16144000,-291000,0,-15853000,-22831000,-7254000,17946000,-15853000
EVER,2022-09-30,USD,97346000,103223000,5877000,5877000,-6590000,96200000,7832000,104032000,113000,113000,113000,113000,103223000,26000,NA,1410000,-6451000,NA,NA,-6451000,-6483000,-6590000,-5180000,-6451000
EVGO,2022-09-30,USD,-3208000,10509000,13717000,13717000,-40046000,32322000,NA,36838000,NA,-8000,1636000,8000,8609000,-347000,NA,2904000,-13218000,0,8000,-50922000,-13206000,-13210000,-10306000,-13218000
EVH,2022-09-30,USD,-14695000,337639000,352334000,266617000,12951000,68521000,3800000,89517000,425000,-4754000,425000,4754000,342393000,-345000,7700000,17196000,-43377000,-45500000,14946000,2123000,1861000,-38623000,-21427000,2123000
EVI,2022-09-30,USD,24505000,83428000,58923000,58923000,4383000,20122000,NA,20225000,NA,-377000,377000,377000,NA,NA,NA,1446000,4006000,1159000,377000,2847000,2847000,4383000,5829000,2847000
EVLO,2022-09-30,USD,-7126000,NA,7126000,NA,-29054000,7126000,21928000,29054000,-788000,-788000,NA,788000,0,-615000,437000,1004000,-30457000,107000,0,-30564000,-30564000,-29054000,-28665000,-30564000
EVLV,2022-09-30,USD,225000,16530000,16305000,134000,-26602000,20585000,5616000,26827000,1052000,864000,1052000,188000,0,-57000,NA,1102000,-18615000,0,188000,-18615000,-18570000,-18427000,-17325000,-18615000
EVOJ,2022-09-30,USD,-172930,NA,172930,172930,-134446,300995,NA,172930,NA,NA,NA,NA,NA,581674,NA,NA,447228,NA,NA,447228,447228,-134446,-134446,447228
EVOK,2022-09-30,USD,-1908415,706073,2614488,89775,-1912551,2614488,40388,2744651,NA,-126027,24714,126027,832100,NA,NA,NA,-2013864,NA,126027,-2013864,-2013864,-1912551,-1887837,-2013864
EVOP,2022-09-30,USD,16922000,141342000,124420000,21831000,21182000,81453000,NA,102589000,NA,-4260000,769000,4260000,138663000,228000,7700000,21136000,18719000,18513000,4260000,3831000,-9243000,22979000,44115000,206000
EVR,2022-09-30,USD,138719000,581125000,442406000,371127000,-307819000,77169000,NA,446538000,NA,-4188000,2027000,4188000,NA,0,NA,7065000,123228000,40790000,4188000,82438000,63015000,127416000,134481000,82438000
EVRI,2022-09-30,USD,189015000,204318000,15303000,191000,54618000,56354000,16803000,32106000,NA,-14880000,NA,14880000,204318000,NA,17444000,15303000,39738000,10329000,0,29409000,26770000,54618000,69921000,29409000
EVTV,2022-09-30,USD,1836179,3882670,2046491,2046491,97782,1619210,25000,1738397,NA,30200,30200,NA,3882670,-1233,19093,19092,126749,0,NA,126749,126749,97782,116874,126749
EW,2022-09-30,USD,1065200000,1325900000,631100000,253800000,402400000,377300000,233600000,608500000,NA,6900000,6900000,6900000,1319000000,-2000000,NA,35400000,407300000,63800000,NA,343500000,311900000,402400000,449600000,343500000
EWBC,2022-09-30,USD,357388000,600361000,242973000,NA,335434000,21265000,NA,21954000,NA,551809000,628236000,76427000,75552000,NA,NA,33069000,384388000,89049000,76427000,295339000,95955000,460815000,493884000,295339000
EWCZ,2022-09-30,USD,138000,138000,5058000,16313000,138000,13662000,NA,5101000,NA,-1254000,NA,1254000,-5000,516000,NA,5058000,5324000,37000,1254000,138000,5287000,138000,5196000,3522000
EWTX,2022-09-30,USD,-4368000,NA,4368000,NA,-18262000,4368000,13894000,18262000,NA,764000,764000,764000,NA,764000,100000,65000,-17498000,NA,NA,-17498000,-17341000,-18262000,-18197000,-17498000
EXAS,2022-09-30,USD,369901000,517838000,147937000,147900000,-138058000,379665000,90813000,499950000,NA,-5235000,-1188000,4047000,523073000,-8584000,25000000,23526000,-151877000,-3116000,4047000,-148761000,-151186000,-138058000,-124304000,-148761000
EXC,2022-09-30,USD,3615000000,4845000000,1230000000,825000000,1011000000,405000000,NA,405000000,NA,-365000000,NA,365000000,NA,122000000,648000000,177000000,768000000,92000000,365000000,676000000,685000000,1011000000,1310000000,676000000
EXFY,2022-09-30,USD,25939000,42493000,16554000,16554000,-5717000,28240000,3416000,31656000,NA,-5000,NA,5000,42493000,NA,500000,198000,-8086000,156000,5000,-8242000,-8242000,-5717000,-7883000,-8242000
EXLS,2022-09-30,USD,130889000,361227000,311240000,230462000,50111000,66398000,NA,80778000,1457000,-2442000,1457000,2442000,362855000,2261000,10137000,14380000,51542000,12447000,2442000,39095000,18266000,53984000,68364000,39095000
EXP,2022-09-30,USD,194239000,596488000,424456000,410829000,201395000,13627000,NA,13627000,70000,-8580000,70000,8580000,605068000,-664000,NA,34645000,178524000,39529000,8580000,168428000,139019000,187104000,221819000,138995000
EXPD,2022-09-30,USD,609578000,4362146000,3752568000,3194273000,526923000,58954000,NA,131992000,7835000,7835000,7835000,7835000,4362146000,98000,NA,15187000,534903000,120694000,NA,414162000,349914000,526923000,557925000,414209000
EXPE,2022-09-30,USD,1243000000,3629000000,2386000000,455000000,747000000,1856000000,310000000,1931000000,20000000,-63000000,20000000,63000000,3692000000,-87000000,176000000,23000000,696000000,214000000,-10000000,476000000,405000000,759000000,782000000,482000000
EXPI,2022-09-30,USD,1143750000,1238975000,95225000,1145853000,26000,93096000,NA,1238949000,NA,NA,NA,NA,1238975000,78000,2129000,2129000,-225000,-4627000,NA,4402000,3881000,26000,2155000,4402000
EXR,2022-09-30,USD,384325000,498902000,114577000,125347000,269857000,32275000,NA,32275000,18125000,-56245000,18125000,56245000,70115000,29274000,NA,71423000,227479000,6760000,56245000,236126000,243685000,283724000,355147000,220719000
EXTR,2022-09-30,USD,166708000,294763000,228823000,130981000,17396000,96929000,50989000,149312000,NA,-3826000,392000,3826000,298589000,371000,4953000,523000,14333000,1748000,3826000,12585000,10470000,18159000,18682000,12585000
EYE,2022-09-30,USD,15622000,499565000,483943000,232800000,15359000,225028000,NA,251048000,NA,-572000,NA,572000,499207000,1977000,NA,24852000,17336000,5834000,572000,11502000,11692000,15359000,42760000,11502000
EYEN,2022-09-30,USD,0,NA,0,NA,-7230228,3353352,3876876,7230228,NA,-177138,28093,177138,0,70277,NA,82997,-7308996,NA,177138,-7159951,-7159951,-7230228,-7147231,-7308996
EYPT,2022-09-30,USD,-6527000,9350000,15877000,1405000,-18398000,15228000,11162000,28410000,NA,-662000,640000,662000,10012000,640000,96000,649000,-18420000,NA,662000,-18420000,-18369000,-18398000,-17749000,-18420000
EZFL,2022-09-30,USD,-1085672,4091403,5177075,4208155,-4073645,488288,NA,3964549,NA,-29721,26957,29721,4091403,NA,253908,480632,-4076409,NA,29721,-4076409,-4076343,-4073645,-3593013,-4076409
EZPW,2022-09-30,USD,137600000,233994000,31858000,95807000,14884000,20155000,NA,122716000,68000,-2321000,68000,2321000,232715000,208000,NA,84341000,13161000,5824000,2321000,7337000,6705000,15482000,99823000,7337000
F,2022-09-30,USD,2622000000,39392000000,36770000000,34354000000,504000000,2847000000,NA,2847000000,181000000,-321000000,2947000000,321000000,39257000000,104000000,1895000000,2503000000,-1022000000,-195000000,456000000,-930000000,-1547000000,504000000,3558000000,-827000000
FA,2022-09-30,USD,143208000,205986000,62778000,104300000,25658000,28034000,13250000,180328000,NA,-1740000,-1287000,453000,205986000,-1740000,NA,34744000,23918000,6709000,0,17209000,6956000,25658000,59115000,17209000
FAF,2022-09-30,USD,1205000000,1824000000,619000000,570000000,116000000,8000000,NA,1089000000,NA,-24000000,24000000,24000000,-50000000,NA,NA,41000000,-4000000,-6000000,24000000,3000000,-296000000,20000000,61000000,2000000
FANG,2022-09-30,USD,2403000000,2437000000,34000000,742000000,1614000000,34000000,NA,66000000,NA,-43000000,NA,43000000,2296000000,-11000000,NA,326000000,1474000000,290000000,1000000,1270000000,1184000000,1614000000,1843000000,1184000000
FARM,2022-09-30,USD,26597000,117026000,138512000,94783000,-4298000,38077000,NA,30895000,NA,-4641000,NA,4641000,121667000,1608000,NA,5652000,-7331000,43000,4641000,-7374000,-8895000,-2690000,2962000,-7374000
FARO,2022-09-30,USD,43265000,85328000,79891000,42067000,-7127000,37226000,12586000,50392000,NA,-4000,NA,4000,85332000,1428000,NA,3406000,-5661000,600000,4000,-6275000,-18057000,-7127000,-2251000,-6261000
FAST,2022-09-30,USD,826500000,1799400000,1425900000,975900000,379200000,447300000,NA,447600000,NA,-4100000,200000,4100000,1803500000,200000,41400000,2700000,375300000,90700000,4100000,284600000,251900000,379400000,382100000,284600000
FAT,2022-09-30,USD,43782000,83718000,39936000,55257000,1012000,39936000,NA,39936000,NA,-19504000,NA,19504000,103222000,538000,NA,9431000,-22921000,516000,19504000,-23437000,-23437000,1012000,6014000,-23437000
FATBB,2022-09-30,USD,43782000,83718000,39936000,55257000,1012000,39936000,NA,39936000,NA,-19504000,NA,19504000,103222000,538000,NA,9431000,-22921000,516000,19504000,-23437000,-23437000,1012000,6014000,-23437000
FATE,2022-09-30,USD,-6574000,14981000,21555000,NA,-86391000,21555000,79817000,101372000,1787000,1787000,1787000,1787000,14981000,2828000,NA,3193000,-83563000,NA,NA,-81776000,-83435000,-86391000,-78583000,-83563000
FAZE,2022-09-30,USD,3542000,14012000,10470000,10470000,-14865000,18407000,NA,18407000,NA,1000,960000,959000,115292000,-115733000,300000,1230,-130598000,NA,-114333000,-130598000,-130598000,-14865000,-130137770,-130598000
FBHS,2022-09-30,USD,281200000,2053700000,1772500000,1310200000,281200000,415300000,NA,462300000,NA,-33100000,NA,33100000,2053700000,2100000,31800000,16800000,250200000,46000000,33100000,204200000,174200000,281200000,300100000,204200000
FBIO,2022-09-30,USD,-20832000,16528000,37360000,7221000,-50734000,30139000,29902000,60041000,419000,-3393000,419000,3393000,16043000,-2326000,800000,1327000,-22511000,0,3393000,-53060000,-22511000,-50734000,-17791000,-22511000
FBIZ,2022-09-30,USD,14086000,34114000,20028000,NA,11876000,2210000,NA,2210000,NA,25884000,31786000,5902000,8197000,NA,NA,1063000,14041000,3215000,5902000,10826000,5826000,19943000,21006000,10826000
FBK,2022-09-30,USD,43835000,133871000,90036000,NA,31377000,10395000,NA,12458000,NA,111384000,128483000,17099000,22592000,NA,NA,2057000,40762000,8931000,17099000,31831000,-35114000,57861000,59918000,31831000
FBNC,2022-09-30,USD,45731000,99831000,54100000,NA,15303000,28991000,NA,30428000,NA,85334000,88290000,2956000,16912000,NA,1716000,889000,48146000,10197000,2956000,37949000,-70735000,51102000,51991000,37949000
FBRX,2022-09-30,USD,-2044000,NA,2044000,NA,-3423000,2044000,1379000,3423000,NA,NA,NA,NA,NA,23000,NA,NA,-3400000,NA,NA,-3400000,-3400000,-3423000,-3423000,-3400000
FC,2022-08-31,USD,59067000,78806000,19739000,19739000,8663000,39741000,NA,45347000,17000,-401000,383000,401000,78306000,17000,1217000,2595000,8279000,2701000,401000,5578000,5239000,8680000,11275000,5578000
FCAP,2022-09-30,USD,3797000,10356000,6559000,NA,3797000,1723000,NA,1723000,NA,8658000,9048000,390000,1873000,NA,NA,266000,3794000,669000,390000,-3431000,-7038000,4184000,4450000,3125000
FCBC,2022-09-30,USD,16777000,38607000,21830000,NA,11300000,2114000,NA,5477000,NA,29342000,29722000,380000,9950000,NA,1037000,365000,17462000,4111000,380000,13351000,5986000,17842000,18207000,13351000
FCCO,2022-09-30,USD,5226000,15643000,10417000,NA,4144600,1042400,NA,1081400,NA,12794000,13352000,558000,2673000,NA,413000,39000,5032000,1081000,558000,3951000,-2757000,5590000,5629000,3951000
FCEL,2022-07-31,USD,-19960000,41482000,61442000,47284000,-27997000,14158000,9659000,23817000,NA,-1622000,NA,1622000,43104000,1136000,NA,5266000,-28920000,494000,1622000,-28977000,-29500000,-27298000,-22032000,-29414000
FCF,2022-09-30,USD,44498000,104399000,59901000,NA,29644000,13660000,NA,13761000,NA,82360000,85700000,3340000,25914000,NA,NA,746000,42450000,8482000,3340000,33968000,-11296000,45790000,46536000,33968000
FCFS,2022-09-30,USD,323292000,672143000,348851000,182199000,75395000,36951000,NA,247897000,206000,30564000,48846000,18282000,300644000,-164000,NA,25971000,75395000,16079000,18282000,59316000,51944000,93677000,119648000,59316000
FCN,2022-09-30,USD,247057000,773711000,526654000,526654000,87710000,159186000,NA,165849000,NA,-2378000,5393000,2378000,775865000,7771000,NA,8950000,93103000,15836000,2378000,77267000,28792000,95481000,104431000,77267000
FCNCA,2022-09-30,USD,526000000,1390000000,864000000,52000000,-234000000,75000000,NA,760000000,NA,795000000,906000000,111000000,433000000,NA,NA,6000000,408000000,93000000,110000000,315000000,51000000,519000000,525000000,315000000
FCPT,2022-09-30,USD,40503000,56008000,15505000,10588000,16209000,4917000,NA,24294000,NA,-9177000,NA,9177000,1828000,164000,NA,10588000,24495000,-23000,9177000,20024000,41541000,33672000,44260000,24518000
FCRD,2022-09-30,USD,4062000,8879000,NA,NA,4062000,524000,NA,4966000,NA,3792000,6565000,2773000,NA,NA,NA,35473000,3888000,25000,NA,4062000,NA,3888000,39361000,3888000
FCUV,2022-09-30,USD,18213,60654,42441,42441,-973966,674127,133109,992179,NA,2635,2635,0,0,18696,41845,41845,-942020,0,0,-942020,-937424,-973966,-897540,-942020
FCX,2022-09-30,USD,1104000000,5003000000,3899000000,3874000000,962000000,98000000,NA,225000000,NA,-140000000,42000000,182000000,5329000000,25000000,NA,508000000,719000000,315000000,162000000,560000000,405000000,962000000,1367000000,404000000
FDBC,2022-09-30,USD,8923000,21951000,13028000,NA,5793000,3130000,NA,3187000,NA,18510000,20135000,1625000,3911000,NA,NA,61000,8868000,1179000,1625000,7689000,-13664000,10493000,10554000,7689000
FDMT,2022-09-30,USD,-7555000,500000,8055000,NA,-26495000,8055000,18940000,26995000,795000,795000,795000,795000,500000,9000,500000,517000,-25691000,NA,NA,-25691000,-25715000,-26495000,-25978000,-25691000
FDS,2022-08-31,USD,75191000,464097000,388906000,241944000,132219000,123847000,NA,-495685000,NA,-14304000,14304000,14304000,499297000,-1487000,NA,21800000,116399000,11977000,NA,104451000,73173000,132219000,154019000,104422000
FDUS,2022-09-30,USD,40044000,13046000,NA,NA,40044000,1122000,NA,1629000,NA,17776000,21932000,4156000,NA,12655000,NA,67814000,11417000,-11000,NA,52710000,NA,17416000,15573000,11428000
FDX,2022-08-31,USD,12758000000,23242000000,10484000000,2726000000,1191000000,11337000000,NA,3723000000,NA,-142000000,142000000,142000000,23242000000,4000000,NA,1024000000,1154000000,279000000,NA,875000000,664000000,1191000000,2036000000,875000000
FE,2022-09-30,USD,3266000000,3475000000,209000000,209000000,505000000,1406000000,NA,1111000000,NA,-248000000,225000000,248000000,1000000,168000000,332000000,349000000,439000000,105000000,247000000,334000000,333000000,687000000,1013000000,334000000
FEAM,2022-09-30,USD,8162000,13088000,4926000,NA,-8557000,4886000,39000,8557000,61000,-821000,61000,821000,13909000,14000,34900,37000,4606000,0,821000,4606000,4606000,5427000,5464000,4606000
FEIM,2022-07-31,USD,-5000,8200000,8209000,1200000,-3107000,1992000,1110000,3102000,36000,-45000,NA,45000,-20000,0,NA,NA,-3116000,1000,45000,-3117000,-3103000,-3071000,-3071000,-3117000
FELE,2022-09-30,USD,190595000,545258000,475828000,361077000,80044000,109366000,NA,114751000,NA,-3066000,NA,3066000,548324000,-1250000,NA,4200000,72004000,13380000,3066000,58972000,43977000,75070000,79270000,58624000
FEMY,2022-09-30,USD,216005,341451,1756485,131451,-3057189,1485437,1648160,3273194,NA,-6005,80373,6005,347456,-22,134755,139597,-2982843,NA,6005,-2982843,-2982843,-3057189,-2917592,-2982843
FENC,2022-09-30,USD,-7176000,NA,7053000,NA,-7899000,7053000,846000,7899000,NA,-119000,24000,119000,-4000,-190000,NA,63000,-8089000,NA,119000,-8089000,-8089000,-7899000,-7836000,-8089000
FET,2022-09-30,USD,51363000,200175000,174185000,130472000,7702000,43713000,NA,43661000,NA,-8143000,10145000,8100000,200175000,18288000,2936000,6103000,17847000,1370000,0,16477000,-6147000,7702000,13805000,16477000
FEXD,2022-09-30,USD,NA,0,NA,NA,-874967,874967,NA,874967,NA,NA,NA,NA,NA,1105982,NA,NA,231015,NA,NA,231015,NA,231015,-874967,231015
FFBC,2022-09-30,USD,55412000,180866000,125454000,NA,26084000,26528000,NA,29328000,NA,137892000,155112000,17220000,42534000,NA,NA,7738000,47074000,-8631000,17220000,55705000,-55537000,64294000,72032000,55705000
FFBW,2022-09-30,USD,781000,3175000,2394000,NA,102000,679000,NA,679000,NA,2917000,3167000,250000,248000,NA,95000,95000,678000,168000,250000,510000,-1129000,928000,1023000,510000
FFIC,2022-09-30,USD,30783000,68562000,37779000,NA,21117000,8178000,NA,9666000,5693000,61206000,81745000,20539000,8995000,NA,NA,1488000,32422000,8980000,20539000,23442000,8412000,52961000,54449000,23442000
FFIE,2022-09-30,USD,-42951000,NA,33433000,799000,-80605000,32543000,48062000,80605000,NA,-1828000,NA,1828000,-7690000,-6457000,NA,91000,-103377000,0,9518000,-103377000,-93513000,-80605000,-101458000,-103377000
FFIN,2022-09-30,USD,68215000,130878000,62663000,NA,64635000,3800000,NA,3580000,NA,103156000,112728000,9572000,30943000,NA,NA,306000,71436000,12095000,9572000,59341000,-172566000,81008000,81314000,59341000
FFIV,2022-09-30,USD,552571000,707333000,490381000,147462000,107530000,306519000,138522000,445041000,NA,NA,NA,NA,700033000,-7813000,NA,27211000,99717000,10371000,NA,89346000,87796000,107530000,126928000,89346000
FFNW,2022-09-30,USD,4970000,13984000,9014000,NA,881000,4089000,NA,4089000,-131000,12717000,15435000,2718000,778000,NA,537000,537000,4812000,866000,2718000,-8999000,1336000,7530000,8067000,3946000
FFWM,2022-09-30,USD,39580000,99878000,60298000,NA,26947000,12633000,NA,12633000,NA,87672000,108746000,21074000,12184000,NA,NA,1037000,39536000,10530000,21074000,29006000,24526000,60610000,61647000,29006000
FGBI,2022-09-30,USD,8661000,27958000,19297000,NA,6366000,2295000,NA,2295000,NA,25449000,35250000,9801000,4018000,NA,NA,2370000,10170000,2117000,9801000,8053000,7198000,19971000,21759000,8053000
FGEN,2022-09-30,USD,11343000,15651000,4308000,4308000,-93657000,29902000,75182000,105084000,NA,-84000,1798000,84000,15735000,407000,2537000,142000,-91536000,114000,84000,-91650000,-92066000,-91452000,-91310000,-91650000
FGF,2022-09-30,USD,12661000,15771000,3110000,NA,7145000,2001000,NA,5516000,NA,NA,NA,NA,4383000,NA,NA,1109000,12455000,2200000,NA,10255000,10255000,7145000,8254000,10255000
FGMC,2022-09-30,USD,NA,0,NA,NA,-95132,95132,NA,95132,NA,NA,NA,NA,NA,372393,NA,NA,277261,NA,NA,277261,NA,277261,-95132,277261
FHB,2022-09-30,USD,92078000,208593000,116515000,NA,82061000,10017000,NA,10017000,NA,162736000,176390000,13654000,45857000,NA,NA,13270000,92078000,23060000,13654000,69018000,-18281000,105732000,119002000,69018000
FHI,2022-09-30,USD,200439000,381143000,180704000,126668000,96780000,54036000,NA,284363000,2599000,NA,7528000,3302000,381143000,-38000,NA,9674000,91119000,21640000,3302000,67574000,25719000,96780000,106454000,69479000
FHLT,2022-09-30,USD,NA,0,NA,NA,-631418,581418,NA,581418,NA,2294,2294,NA,NA,910528,NA,NA,279110,180711,NA,98399,NA,-631418,-631418,98399
FHN,2022-09-30,USD,332000000,861000000,529000000,NA,233000000,76000000,NA,99000000,NA,662000000,733000000,71000000,213000000,NA,NA,13000000,343000000,78000000,71000000,268000000,-199000000,414000000,427000000,265000000
FHTX,2022-09-30,USD,-1331000,6634000,7965000,NA,-28259000,7965000,26928000,34893000,NA,0,2490000,0,6634000,2490000,NA,843000,-25769000,NA,0,-25769000,-27444000,-28259000,-22436000,-25769000
FIAC,2022-09-30,USD,NA,0,NA,NA,-306223,306223,NA,306223,NA,2481,2481,NA,NA,2424414,NA,NA,2118191,212593,NA,1905598,NA,-306223,-306223,1905598
FIBK,2022-09-30,USD,101000000,282600000,181600000,NA,41000000,51900000,NA,60000000,NA,266800000,286700000,19900000,22900000,NA,NA,4100000,108100000,22400000,19900000,85700000,-92200000,128000000,132100000,85700000
FICO,2022-09-30,USD,247339000,329825000,82486000,82486000,134156000,96153000,35511000,147053000,NA,-20840000,NA,20840000,350665000,-206000,3347000,13581000,113110000,22411000,20840000,90699000,69692000,133950000,147531000,90699000
FINW,2022-09-30,USD,15585000,12823000,NA,NA,7116000,5137000,NA,1118000,NA,12519000,12823000,304000,NA,NA,NA,861000,7116000,3462000,NA,3654000,NA,7420000,8281000,3654000
FIP,2022-09-30,USD,78559000,78559000,NA,NA,-6378000,5867000,NA,84937000,NA,-19161000,NA,19161000,NA,-13346000,NA,18136000,-41639000,1555000,NA,-43194000,NA,-14097000,4039000,-34813000
FIS,2022-09-30,USD,1456000000,3528000000,3676000000,2148000000,462000000,977000000,NA,1528000000,NA,-76000000,-68000000,8000000,3604000000,-41000000,NA,534000000,340000000,91000000,8000000,254000000,57000000,462000000,882000000,249000000
FISI,2022-09-30,USD,21324000,54151000,32827000,NA,10520000,10538000,NA,10804000,NA,43068000,50675000,7607000,12652000,NA,NA,1820000,18579000,4725000,7607000,13854000,-27604000,26186000,28006000,13854000
FISV,2022-09-30,USD,2173000000,4328000000,2155000000,1996000000,855000000,1547000000,NA,2275000000,3000000,-190000000,3000000,193000000,4518000000,-13000000,NA,608000000,628000000,147000000,193000000,493000000,-53000000,821000000,1429000000,481000000
FITB,2022-09-30,USD,836000000,2161000000,1325000000,NA,569000000,248000000,NA,267000000,NA,1498000000,1760000000,262000000,672000000,NA,30000000,18000000,845000000,192000000,1000000,653000000,-2009000000,1107000000,1125000000,653000000
FIVN,2022-09-30,USD,104231000,198342000,94111000,94111000,-21731000,91849000,34113000,125962000,NA,-1879000,982000,1879000,198342000,982000,8300000,3075000,-22628000,579000,1879000,-23207000,-22774000,-20749000,-17674000,-23207000
FIX,2022-09-30,USD,202224000,1120012000,917788000,917788000,81436000,121194000,NA,116288000,5000,-3609000,5000,3609000,406000,46000,8348000,11444000,74435000,12920000,3609000,61515000,61515000,78044000,89488000,61515000
FIXX,2022-09-30,USD,-9187000,802000,7810000,NA,-32862000,7810000,25854000,33664000,NA,1269000,1269000,NA,-1377000,1269000,300000,125000,-33772000,-46000,NA,-31547000,-34142000,-32862000,-33555000,-33726000
FKWL,2022-09-30,USD,1593862,8108940,6515078,6515078,-615893,1239635,970120,2209755,NA,17147,60062,NA,-58805,-42382,15819,179894,-1230374,-103383,NA,-1426570,-1441209,-615893,-435999,-1126991
EFOI,2022-09-30,USD,-163000,1764000,1927000,1927000,-2407000,1802000,366000,2244000,NA,-235000,NA,235000,-76000,-20000,42000,42000,-2662000,NA,235000,-2427000,-2427000,-2407000,-2385000,-2662000
EFSC,2022-09-30,USD,64225000,133068000,68843000,NA,54588000,9637000,NA,9637000,NA,124290000,135695000,11405000,9454000,NA,1377000,2687000,64225000,14025000,11405000,50200000,5490000,75630000,78317000,50200000
EFTR,2022-09-30,USD,-3207000,297000,3504000,NA,-9251000,3486000,6632000,10118000,142000,-570000,142000,570000,867000,38000,NA,18000,-9559000,NA,570000,-9559000,-9546000,-9251000,-9233000,-9559000
EFX,2022-09-30,USD,195800000,1197200000,1001400000,542500000,242900000,318000000,NA,460300000,NA,-47100000,47100000,47100000,1244300000,23900000,NA,140900000,218500000,52800000,47100000,166900000,-16600000,265600000,406500000,165700000
EGAN,2022-09-30,USD,18481000,24763000,18934000,6282000,-670000,12277000,6874000,19151000,NA,286000,286000,286000,24763000,810000,126000,375000,426000,442000,NA,-16000,-1167000,-670000,-295000,-16000
EGBN,2022-09-30,USD,48724000,87952000,39228000,NA,36861000,8715000,NA,8715000,NA,83897000,111527000,27630000,5308000,NA,NA,8017000,49203000,11906000,27630000,37297000,-20973000,76833000,76833000,37297000
EGHT,2022-09-30,USD,73067000,187389000,114322000,62038000,-24990000,114322000,36019000,212379000,NA,NA,NA,NA,187389000,13950000,2835000,14920000,-11040000,599000,NA,-11639000,-20192000,-24990000,-10070000,-11639000
EGIO,2022-09-30,USD,36894000,121156000,84262000,84262000,-39918000,36626000,30173000,76812000,140000,-1317000,140000,1317000,121156000,-1082000,1026000,5943000,-42177000,440000,1317000,-42617000,-44666000,-40860000,-34917000,-42617000
EGLE,2022-09-30,USD,184976000,194642000,9666000,109062000,73452000,9666000,NA,2799000,881000,-4236000,881000,4236000,190476000,8001000,NA,11940000,77217000,NA,8409000,77217000,81771000,73452000,85392000,77217000
EGP,2022-09-30,USD,119150000,125658000,6508000,35033000,112968000,3967000,NA,6508000,NA,-9771000,9771000,9771000,NA,NA,32052000,2541000,37817000,NA,9771000,112968000,54949000,112968000,115509000,37792000
EGRX,2022-09-30,USD,13941000,64754000,50813000,20869000,9462000,23462000,9326000,39270000,-444000,-1147000,NA,1147000,65901000,-11534000,163000,3700000,-3663000,3468000,1147000,-7131000,-35000,-2516000,1184000,-7131000
EGY,2022-09-30,USD,67155000,78097000,10942000,8963000,33900000,1979000,NA,11962000,-234000,-234000,3544000,234000,3778000,-7707000,NA,8963000,29711000,22843000,NA,6894000,6894000,33900000,42863000,6868000
EHC,2022-09-30,USD,407800000,1051300000,643500000,51100000,197900000,37900000,NA,209900000,NA,-38200000,37500000,38200000,1089500000,-3600000,NA,45300000,67200000,21800000,38200000,63900000,45400000,105400000,150700000,45400000
EHTH,2022-09-30,USD,52882000,53376000,494000,494000,-48269000,47856000,19399000,52390000,NA,NA,NA,NA,53376000,-647000,934000,5558000,-48949000,-9800000,NA,-39116000,-39398000,-48269000,-43358000,-39149000
EIG,2022-09-30,USD,-21100000,204400000,225500000,NA,-201700000,900000,NA,180600000,23700000,-1100000,1100000,1100000,178700000,NA,NA,1200000,23800000,4700000,1100000,19100000,-45100000,24900000,26100000,19100000
EIGR,2022-09-30,USD,2793000,4024000,1231000,1231000,-26369000,6964000,22198000,29162000,347000,-1092000,347000,1092000,NA,3000,NA,212000,-27111000,0,1092000,-27111000,-26970000,-26019000,-25807000,-27111000
EIX,2022-09-30,USD,5228000000,5228000000,-4000000,3464000000,-44000000,943000000,NA,-20000000,NA,-302000000,19000000,302000000,NA,85000000,NA,755000000,-261000000,-187000000,302000000,-74000000,-100000000,41000000,796000000,-74000000
EKSO,2022-09-30,USD,1686000,2563000,6047000,1643000,-3654000,4404000,936000,5340000,NA,-34000,NA,34000,2597000,-650000,170000,170000,-4304000,NA,34000,-4304000,-3652000,-3654000,-4100000,-4304000
EL,2022-09-30,USD,2907000000,3896000000,3445000000,1023000000,661000000,2244000000,NA,2246000000,15000000,-46000000,31000000,46000000,3942000000,15000000,NA,172000000,633000000,143000000,46000000,490000000,173000000,661000000,851000000,490000000
ELA,2022-09-30,USD,11855657,45077729,41095731,33342029,3566991,7753702,NA,8288666,NA,-119957,119960,119957,45197686,-65264,NA,534964,3381770,64061,119957,3317709,3317709,3501727,4036691,3317709
ELAN,2022-09-30,USD,17000000,968000000,951000000,472000000,-540000000,298000000,78000000,557000000,NA,-60000000,NA,60000000,1028000000,-8000000,NA,128000000,-42000000,7000000,60000000,-49000000,-407000000,18000000,146000000,-49000000
ELDN,2022-09-30,USD,-3146000,NA,3146000,NA,-10598000,3146000,7452000,10598000,NA,NA,NA,NA,NA,127000,NA,93000,-10471000,NA,NA,-10471000,-10471000,-10598000,-10505000,-10500000
