,MarketCapitalization,BookValue,DividendYield,DividendPerShare,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY
356,1676520000,1.755,0.0,0.0,-0.824,0.086,0.0,-8.14,-0.191,-0.75,92567000,82538000,0.0,-0.948
357,384871000,3.929,0.0,0.0,-4.107,0.0,0.0,0.0,-0.29,-0.54,0,0,0.0,0.0
358,14680900,0.381,0.0,0.0,0.26,0.0,0.0,0.0,-0.524,-0.863,5,-190187,0.0,-1.0
359,12945400,2.016,0.0,0.0,-0.867,1.605,-0.544,-0.543,-0.196,-0.388,19058400,4098400,0.0,0.654
360,3094895000,30.29,0.0438,1.743,1.78,22.61,0.0785,0.124,0.0183,0.0591,1631862000,941813000,-0.211,0.214
361,263165000,0.005,0.0,0.0,0.42,0.0,0.0,0.0,-0.0026,0.0,0,0,0.0,0.0
362,153829000,1.238,0.0,0.0,-0.538,9.45,-0.314,0.0404,0.0225,-1.116,1750568000,542404000,12.0,0.077
363,2315990000,24.18,0.0,0.0,0.06,18.33,0.0031,-0.0063,-0.002,0.0022,453239000,141236000,-0.356,0.074
364,24142025000,80.28,0.0372,6.36,8.8,18.3,0.482,0.301,0.0242,0.112,2553867000,1455149000,5.26,0.207
365,36366400,0.71,0.0,0.0,-2.887,2.826,0.0,-2.408,-0.387,-2.75,19989000,3868000,0.0,0.142
366,685702000,12.26,0.0044,0.095,0.94,20.6,0.0466,0.0772,0.0388,0.0777,608445000,213243000,0.278,0.033
367,1758539000,3.387,0.0,0.0,-1.441,1.556,-0.495,-0.355,-0.0394,-0.313,299440000,148319000,0.0,0.264
368,518665000,0.833,0.0,0.0,-1.203,2.734,-0.308,-0.26,-0.146,-0.725,94319000,11260000,0.0,1.007
369,219028324000,51.55,0.0315,16.4,24.42,77.41,0.32,0.407,0.11,0.447,31680000000,20288000000,0.702,0.249
370,9294600,0.665,0.0,0.0,-5.6,1.564,-2.125,-1.924,-0.338,-2.233,8675000,3424000,0.0,-0.048
371,127750000,0.009,0.0,0.0,0.475,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
372,1285395000,-4.116,0.0,0.0,0.95,9.39,0.107,0.131,0.142,0.0,420378000,265804000,-0.156,0.013
373,399780000,7.96,0.0,0.0,0.34,2.31,0.185,0.158,0.0249,0.0573,192180000,184162000,2.641,2.952
374,1261015000,27.11,0.0,0.0,0.91,16.81,0.0553,0.0802,0.0236,0.0348,795900000,364300000,-0.692,0.098
375,3241226000,18.92,0.0297,0.95,2.03,53.79,0.0383,0.0871,0.0473,0.106,4916800000,1132600000,0.243,0.006
376,371752000,17.63,0.0,0.0,1.13,27.83,0.0442,0.088,0.0538,0.0709,311052000,109235000,0.701,0.111
377,1106601000,7.69,0.0,0.0,0.32,14.79,0.0233,0.0222,0.0163,0.0446,1044900000,124500000,0.0,0.269
378,918421000,1.262,0.0,0.0,-0.405,1.228,-0.166,-0.18,-0.0645,-0.139,222569000,139245000,0.0,0.163
379,38175400,2.241,0.0,0.0,-2.814,0.0,0.0,0.0,-0.391,-0.748,0,0,0.0,0.0
380,4117363000,43.53,0.0263,1.05,7.77,261.93,0.03,0.0434,0.0685,0.188,25476145000,2965391000,0.755,0.209
381,450519000,5.68,0.0,0.0,28.96,0.0,0.0,0.0,-0.172,-0.28,0,0,0.0,0.0
382,53660000,0.675,0.0,0.0,-0.713,1.884,-2.938,-2.679,-0.441,-2.663,17374000,-44721000,0.0,10.07
383,939440000,1.828,0.0,0.0,-0.579,0.0,0.0,0.0,-0.19,-0.327,0,0,0.0,0.0
384,15594630000,24.75,0.0159,2.86,9.89,112.15,0.0888,0.122,0.0876,42.92,9196600000,2312800000,0.378,0.118
385,46343700,0.09,0.0,0.0,-0.312,0.069,0.0,-4.581,-0.627,-1.249,7882000,3062000,0.0,0.244
386,3431103000,11.39,0.0132,0.947,4.11,25.89,0.162,0.18,0.0789,0.37,1211100000,405900000,0.175,0.112
387,27954237000,42.67,0.0175,2.515,7.25,20.95,0.346,0.343,0.0312,0.18,3812000000,2153000000,0.067,-0.009
388,3628821000,19.09,0.0163,1.492,2.16,13.07,0.166,0.284,0.0444,0.116,482785000,274756000,-0.089,-0.013
389,42229000,1.967,0.0,0.0,-0.262,0.736,-0.0768,-0.464,-0.0943,-0.0289,15942000,15644000,0.0,-0.278
390,10996400,10.12,0.0,0.0,-0.0228,19.78,-0.001,0.0074,0.0042,-0.203,77123000,13551000,0.198,0.207
391,2356774000,28.35,0.0,0.0,3.962,12.27,0.327,0.495,0.0143,15.12,731610000,702021000,-0.02,0.175
392,74325000,0.187,0.0,0.0,-1.056,0.177,0.0,-5.19,-0.542,0.0,13123000,-381000,0.0,-0.052
393,468958000,2.4,0.0,0.0,-0.766,3.197,-0.215,-0.22,-0.0908,-0.266,133957000,104427000,0.0,0.184
394,1169596000,4.249,0.0,0.0,0.03,49.4,0.0007,0.0457,0.0285,0.0089,5644800000,759200000,0.462,0.266
395,67016000,0.562,0.0,0.0,-1.757,0.0,0.0,0.0,-0.919,-5.43,0,0,0.0,0.0
396,3578568000,11.11,0.0,0.0,-1.805,5.25,-0.314,-0.247,-0.0624,-0.145,240919000,115718000,0.0,0.5
397,13438163000,17.3,0.0,0.0,1.41,15.17,0.0975,0.0407,0.0149,0.0891,1071371000,540910000,-0.746,0.344
398,117128774000,32.05,0.0135,1.99,10.17,65.64,0.154,0.208,0.0384,0.317,49622999000,30799000000,0.089,0.149
399,58382000,16.32,0.0,0.0,2.41,9.5,0.255,0.349,0.139,0.183,63204000,26657000,0.636,0.069
400,3568229000,3.624,0.0,0.0,-3.72,0.654,0.0,-5.91,-0.416,-1.598,25665600,0,0.0,0.0
401,233446000,5.04,0.0,0.0,0.4,3.625,0.115,0.109,0.0306,0.0747,152055000,47414000,0.444,0.018
402,21794000,1.574,0.0,0.0,-0.88,0.086,0.0,-7.76,-0.21,-0.351,3194900,-2091187,0.0,-0.333
403,14046600,0.863,0.0,0.0,-4.24,2.878,-0.832,-0.288,-0.0977,-1.03,102427000,52283000,0.0,0.263
404,3061502000,2.266,0.0,0.0,-4.761,10.7,-0.446,-0.364,-0.114,-114.73,728081000,480382000,-0.312,0.747
405,3043476000,9.56,0.0,0.0,0.56,8.83,0.0555,0.0969,0.0359,0.0524,1355586000,411202000,0.279,-0.12
406,48812380000,-71.3,0.0,0.0,117.65,808.29,0.149,0.201,0.137,0.0,16252230000,8472650000,0.135,0.089
407,15488955000,204.1,0.0,0.0,3.48,7.49,0.087,0.0469,0.134,0.361,482311000,137630000,0.231,2.257
408,55098000,0.997,0.0,0.0,-2.474,3.649,-0.771,-0.612,-0.299,-5.14,47383000,19022000,0.0,0.079
409,2166873000,25.06,0.016,0.64,0.51,24.71,0.0207,0.118,0.0381,0.0196,1259395000,454996000,-0.397,-0.032
410,108987400000,-9.46,0.0553,0.0,-8.29,103.57,-0.138,-0.0764,-0.0206,0.0,61420999000,5190000000,-0.68,0.044
411,289449312000,29.96,0.0238,0.85,3.16,11.23,0.299,0.338,0.0089,0.101,91516002000,93707000000,-0.047,0.009
412,11048200,0.355,0.0,0.0,0.0,0.642,-0.833,-0.589,-0.264,-0.915,17082900,18340,0.0,0.086
413,66625000,20.18,0.0199,0.31,4.55,39.76,0.0072,0.163,0.0211,0.214,159135000,161320000,-0.99,0.674
414,14338610000,9.19,0.016,1.66,3.941,66.44,0.06,0.0894,0.0806,46.38,8817172000,1989915000,0.124,0.092
415,17519876000,11.09,0.0146,0.8,2.97,48.57,0.0621,0.0927,0.0446,0.266,15475000000,2726000000,1.296,0.112
416,1010071000,15.82,0.0145,0.24,1.57,5.74,0.3,0.478,0.0119,0.117,350918000,266058000,-0.05,0.184
